Artist,C,Position,Streams,Track Name,URL,Unnamed: 0,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
Danny Ocean,CL,158,32258,Me Rehúso,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,157,157,0.0231,0.744,205715,0.804,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,audio_features,0.426
Zion & Lennox,CL,159,31880,Estrella,https://open.spotify.com/track/17hUeO3yozyGyXFzpEIX6D,158,158,0.0293,0.777,214626,0.766,0.0,0,0.136,-3.546,0,0.064,89.993,4,audio_features,0.75
Marcianeke,CL,160,31368,Perreoguaracha,https://open.spotify.com/track/6gJMnHMoMReyYpZQZLgJnR,159,159,0.125,0.534,252173,0.764,0.00233,7,0.543,-7.009,0,0.0688,129.617,4,audio_features,0.816
Lenny Tavárez,CL,161,31097,Me Enamora,https://open.spotify.com/track/3MvpSDePWyiVxheU1eff6L,160,160,0.232,0.74,198592,0.673,4.45e-06,0,0.12,-2.872,1,0.102,180.026,4,audio_features,0.698
Andy Rivera,CL,162,31036,Alguien Más,https://open.spotify.com/track/5mROvpdGeu1vSbZhZoay5O,161,161,0.039,0.77,177370,0.656,0.0,9,0.272,-4.156,1,0.166,80.079,4,audio_features,0.901
Cazzu,CL,163,30983,Dime Dónde,https://open.spotify.com/track/4cvNRoECGS2sUiw5Q5RRsb,162,162,0.196,0.784,180173,0.628,0.00335,10,0.0678,-4.472,0,0.11,171.945,4,audio_features,0.935
Ozuna,CL,164,30523,Despeinada,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,163,163,0.186,0.734,224187,0.775,0.000542,8,0.123,-3.855,1,0.0614,166.039,4,audio_features,0.72
Dalex,CL,165,30477,Hola - Remix,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,164,164,0.471,0.654,249520,0.672,0.0,0,0.0781,-5.98,0,0.311,181.857,4,audio_features,0.343
Drago200,CL,166,30366,No Está Interesada,https://open.spotify.com/track/50MM1jSSqo8LndyiLsCO92,165,165,0.0276,0.806,250485,0.756,0.000641,11,0.247,-5.087,1,0.058,89.981,4,audio_features,0.248
Rusherking,CL,167,30284,Además de Mí - Remix,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE,166,166,0.0396,0.397,330040,0.613,0.0,6,0.192,-5.077,1,0.0549,78.4,4,audio_features,0.405
KAROL G,CL,168,30076,"Ay, DiOs Mío!",https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz,167,167,0.511,0.717,189413,0.708,0.00101,11,0.106,-4.395,1,0.19,180.001,4,audio_features,0.518
De La Ghetto,CL,169,30058,Sensacion Del Bloque,https://open.spotify.com/track/5txjjqwCxYU7Lqj13VSfPw,168,168,0.0977,0.709,182187,0.726,0.0,7,0.301,-7.129,1,0.0411,92.014,4,audio_features,0.405
BTS,CL,170,30038,Dynamite,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,169,169,0.0112,0.746,199054,0.765,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,audio_features,0.737
Reik,CL,171,29743,Perfecta,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J,170,170,0.11,0.762,174932,0.797,0.0,6,0.412,-2.641,1,0.107,81.994,4,audio_features,0.787
Aventura,CL,172,29669,Ella Y Yo - Featuring Don Omar,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3,171,171,0.534,0.732,267787,0.708,0.0,9,0.237,-7.905,0,0.262,175.924,4,audio_features,0.717
